Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
11/21/2018,CHEV,2D,,BLK,S326725,IL,10300 S. Doty,(773) 568-8495,2863831
10/22/2018,FORD,4D,,BLK,AY56989,IL,701 N. Sacramento,(773) 265-7605,6937657
10/22/2018,VOLK,4D,,BLK,ZZ52850,IL,701 N. Sacramento,(773) 265-7605,6937655
11/22/2018,FORD,4D,,GRY,AX19554,IL,10300 S. Doty,(773) 568-8495,2863877
11/22/2018,DODG,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2863880
11/22/2018,CHEV,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2863879
11/22/2018,OLDS,4D,,GRY,Y769549,IL,701 N. Sacramento,(773) 265-7605,6939874
11/21/2018,NISS,4D,,TAN,,IL,10300 S. Doty,(773) 785-9752,1718727
11/21/2018,FORD,4D,,SIL,192057,IL,10300 S. Doty,(773) 568-8495,2863845
09/22/2018,MITS,4T,,BLK,AH54158,IL,701 N. Sacramento,(773) 265-7605,6934982
09/22/2018,CHEV,VN,,GRY,479054,IL,10300 S. Doty,(773) 568-8495,2859551
11/21/2018,NISS,4D,,WHI,AS72047,IL,10300 S. Doty,(773) 568-8495,2863840
11/21/2018,MERC,2D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2863844
11/21/2018,PONT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2863842
09/22/2018,MAZD,4T,,LBL,2443629,IL,701 N. Sacramento,(773) 265-7605,6934959
10/22/2018,NISS,4D,,WHI,AD92087,IL,400 E. Lower Wacker,(312) 744-7550,994717
09/22/2018,CHRY,VN,,SIL,Z161677,IL,10300 S. Doty,(773) 568-8495,2859539
10/18/2018,CADI,4D,,BLK,JS8314,IL,10300 S. Doty,(773) 568-8495,2861480
11/21/2018,BUIC,4D,,WHI,A629293,IL,10300 S. Doty,(773) 568-8495,2863849
11/21/2018,AUDI,LL,,WHI,DRC6832,MI,10300 S. Doty,(773) 568-8495,2863848
11/21/2018,DODG,4D,,SIL,AV82525,IL,10300 S. Doty,(773) 568-8495,2863851
11/21/2018,LNDR,LL,,BLK,AH90230,IL,10300 S. Doty,(773) 785-9752,1718728
11/21/2018,CHEV,4D,,BLU,299893,IL,10300 S. Doty,(773) 568-8495,2863850
11/21/2018,VOLV,4D,,SIL,AF33069,IL,701 N. Sacramento,(773) 265-7605,6939864
11/21/2018,CHEV,4D,,RED,AT37604,IL,701 N. Sacramento,(773) 265-7605,6939863
11/22/2018,JEEP,LL,,SIL,AN81577,IL,701 N. Sacramento,(773) 265-7605,6939907
11/21/2018,CADI,4D,,WHI,AAH7775,WI,701 N. Sacramento,(773) 265-1846,1538041
09/22/2018,FORD,LL,TAU,SIL,N971937,IL,701 N. Sacramento,(773) 265-7605,6935021
09/22/2018,GMC,LL,,BLK,AL94770,IL,701 N. Sacramento,(773) 265-7605,6935017
09/22/2018,CHEV,VN,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6935016
11/22/2018,CHEV,4D,,GRY,AJ68435,IL,701 N. Sacramento,(773) 265-1846,1538042
09/22/2018,CHEV,LL,,GRY,Q922765,IL,701 N. Sacramento,(773) 265-7605,6934985
11/22/2018,CHEV,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,6939903
09/22/2018,HOND,2T,,BLU,Y815766,IL,701 N. Sacramento,(773) 265-7605,6934991
10/22/2018,DODG,4D,,BLK,N791792,IL,701 N. Sacramento,(773) 265-1846,1537935
10/22/2018,BMW,4D,,BLK,AR83488,IL,400 E. Lower Wacker,(312) 744-7550,994723
10/19/2018,DODG,VN,,GRN,589987,IL,701 N. Sacramento,(773) 265-7605,6937352
10/22/2018,CADI,4D,,WHI,S493416,IL,701 N. Sacramento,(773) 265-7605,6937690
10/19/2018,HOND,4T,,TAN,AE76991,IL,701 N. Sacramento,(773) 265-7605,6937356
10/23/2018,CADI,4D,,BGE,288U152,IL,10300 S. Doty,(773) 568-8495,2861743
11/23/2018,JEEP,LL,,GLD,385U804,IL,701 N. Sacramento,(773) 265-7605,6939924
10/19/2018,CHEV,VN,,GRN,Z151661,IL,701 N. Sacramento,(773) 265-7605,6937370
10/19/2018,ACUR,2D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6937390
10/19/2018,MITS,4D,,GLD,AC60294,IL,701 N. Sacramento,(773) 265-7605,6937385
11/23/2018,PONT,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2863928
10/19/2018,FORD,LL,,LBL,ZZ45710,IL,701 N. Sacramento,(773) 265-7605,6937389
11/23/2018,CADI,LL,,BLK,AU47329,IL,10300 S. Doty,(773) 785-9752,1718732
11/23/2018,BUIC,4D,,RED,AS79758,IL,10300 S. Doty,(773) 568-8495,2863943
11/23/2018,DODG,VN,,RED,290521,IL,10300 S. Doty,(773) 568-8495,2863939
11/23/2018,TOYT,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2863944
11/23/2018,CHEV,VN,TK,TAN,449U375,IL,701 N. Sacramento,(773) 265-7605,6939963
09/22/2018,DODG,4D,,GRY,Y952049,IL,701 N. Sacramento,(773) 265-7605,6934975
09/22/2018,FORD,PK,TK,GRN,3574WS,IL,10300 S. Doty,(773) 568-8495,2859545
09/22/2018,CHEV,4D,,BLK,E538212,IL,701 N. Sacramento,(773) 265-7605,6934990
09/22/2018,CADI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6934976
11/21/2018,CHEV,LL,,WHI,447694D,IL,10300 S. Doty,(773) 785-9752,1718729
11/21/2018,DODG,4D,,BLK,AT76206,IL,10300 S. Doty,(773) 568-8495,2863853
11/21/2018,CHEV,LL,TK,BLK,AW13644,IL,701 N. Sacramento,(773) 265-7605,6939867
11/21/2018,BUIC,4D,,BGE,318YZC,WI,10300 S. Doty,(773) 568-8495,2863852
09/22/2018,TOYT,4D,,BLK,AM23820,IL,701 N. Sacramento,(773) 265-7605,6934987
09/22/2018,CHEV,4D,,BLK,581FDP,IN,701 N. Sacramento,(773) 265-7605,6935011
09/22/2018,MITS,LL,,GRY,S628225,IL,701 N. Sacramento,(773) 265-7605,6935013
09/22/2018,NISS,4D,,GRY,AF47792,IL,701 N. Sacramento,(773) 265-7605,6935012
09/22/2018,JEEP,4H,,BLK,S255057,IL,701 N. Sacramento,(773) 265-7605,6934988
11/22/2018,HYUN,4D,,GRY,AF29819,IL,10300 S. Doty,(773) 568-8495,2863915
10/18/2018,LINC,4D,,MAR,AW17706,IL,701 N. Sacramento,(773) 265-7605,6937328
11/23/2018,HOND,4D,,GRY,A594960,IL,701 N. Sacramento,(773) 265-7605,6939928
09/22/2018,HOND,2T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2859547
09/22/2018,HOND,4D,,PLE,AG40820,IL,701 N. Sacramento,(773) 265-7605,6934993
09/21/2018,TOYT,4D,,GRY,AT84007,IL,701 N. Sacramento,(773) 265-7605,6934956
09/22/2018,NISS,4D,,MAR,AX14840,IL,701 N. Sacramento,(773) 265-7605,6934964
10/22/2018,BUIC,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,6937686
09/21/2018,GMC,VN,TK,WHI,AH80055,AZ,Police Pound,,6934958
11/21/2018,TOYT,4D,,GRY,L738902,IL,10300 S. Doty,(773) 568-8495,2863858
09/22/2018,TOYT,4D,,GRY,AE92840,IL,701 N. Sacramento,(773) 265-7605,6934965
11/21/2018,KIA,LL,TK,GRY,AV85471,IL,10300 S. Doty,(773) 568-8495,2863860
09/22/2018,HOND,4D,,GLD,S650018,IL,701 N. Sacramento,(773) 265-7605,6934961
10/22/2018,MERC,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,6937685
09/22/2018,ACUR,LL,,SIL,S737608,IL,701 N. Sacramento,(773) 265-7605,6935076
09/22/2018,ROV,LL,,WHI,AB92817,IL,701 N. Sacramento,(773) 265-7605,6935077
09/22/2018,ACUR,LL,,MAR,LIKE,IL,701 N. Sacramento,(773) 265-7605,6935078
11/21/2018,OLDS,4D,,GRN,AD77911,IL,10300 S. Doty,(773) 568-8495,2863859
10/19/2018,SATU,LL,,LBL,AX22031,IL,701 N. Sacramento,(773) 265-7605,6937347
10/19/2018,FORD,LL,,RED,TQM348,CO,10300 S. Doty,(773) 568-8495,2861520
11/21/2018,CHEV,LL,,BLK,397U860,IL,10300 S. Doty,(773) 785-9752,1718730
11/22/2018,CHEV,VN,,GRN,Q153059,IL,701 N. Sacramento,(773) 265-7605,6939898
10/19/2018,MITS,4D,,BLK,00207691,IL,701 N. Sacramento,(773) 265-7605,6937346
11/22/2018,CHEV,2D,,GLD,AX25776,IL,10300 S. Doty,(773) 568-8495,2863901
10/19/2018,CHEV,4D,,WHI,AT92595,IL,10300 S. Doty,(773) 568-8495,2861521
11/22/2018,DODG,VN,,BLU,Z731977,IL,10300 S. Doty,(773) 568-8495,2863902
11/22/2018,LINC,4D,,BLK,AS65851,IL,701 N. Sacramento,(773) 265-7605,6939918
11/23/2018,DODG,4D,,GRY,AJ97101,IL,701 N. Sacramento,(773) 265-7605,6939961
09/22/2018,JEEP,LL,,WHI,AF72168,IL,701 N. Sacramento,(773) 265-7605,6934981
09/22/2018,CHEV,2D,,BLU,ZY16689,IL,701 N. Sacramento,(773) 265-7605,6934967
10/22/2018,CADI,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2861735
09/22/2018,FORD,LL,TK,SIL,AG37430,IL,701 N. Sacramento,(773) 265-7605,6934995
09/22/2018,JEEP,LL,,MAR,DL001BD,IL,701 N. Sacramento,(773) 265-7605,6934972
09/22/2018,SAA,4D,,GRY,AU34262,IL,701 N. Sacramento,(773) 265-7605,6935039
10/24/2018,CHEV,PK,,RED,2330646B,IL,701 N. Sacramento,(773) 265-7605,6937750
11/21/2018,PONT,4D,,BLK,AS71954,IL,10300 S. Doty,(773) 568-8495,2863861
10/24/2018,INFI,4D,,GRY,AQ43441,IL,701 N. Sacramento,(773) 265-7605,6937749
10/20/2018,CADI,SD,,DBL,AW23897,IL,701 N. Sacramento,(773) 265-7605,6937546
10/20/2018,FORD,SD,,TAN,AN83460,IL,701 N. Sacramento,(773) 265-7605,6937545
10/25/2018,CADI,4D,,SIL,AL19025,IL,701 N. Sacramento,(773) 265-7605,6937849
10/25/2018,HOND,2D,,BLK,ZZ15590,IL,701 N. Sacramento,(773) 265-7605,6937850
10/25/2018,HYUN,LL,,GRY,349U552,IL,10300 S. Doty,(773) 568-8495,2862086
10/28/2018,CHEV,4D,,RED,ZU18271,IL,701 N. Sacramento,(773) 265-7605,6938043
10/28/2018,TOYT,4D,COA,BLU,902T381,IL,10300 S. Doty,(773) 568-8495,2862352
10/28/2018,DODG,VN,TK,SIL,AV59667,IL,701 N. Sacramento,(773) 265-7605,6938054
10/22/2018,AUDI,4D,,GRY,224U426,IL,10300 S. Doty,(773) 568-8495,2861736
11/21/2018,FORD,LL,,BLK,AV92381,IL,10300 S. Doty,(773) 568-8495,2863864
09/22/2018,JEEP,LL,,SIL,AL94163,IL,701 N. Sacramento,(773) 265-7605,6935007
11/21/2018,CADI,4D,,SIL,E649585,IL,701 N. Sacramento,(773) 265-7605,6939871
09/22/2018,CHEV,LL,,BLK,Y805794,IL,10300 S. Doty,(773) 568-8495,2859548
09/22/2018,MERZ,2D,,BLU,Q498112,IL,701 N. Sacramento,(773) 265-7605,6934974
11/23/2018,NISS,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,6939931
11/23/2018,MERC,4D,,BLK,AD79536,IL,701 N. Sacramento,(773) 265-1846,1718731
09/22/2018,CHRY,4D,,MAR,Q153007,IL,701 N. Sacramento,(773) 265-7605,6934997
11/23/2018,FORD,4D,,TAN,Y739962,IL,701 N. Sacramento,(773) 265-7605,6939956
11/23/2018,CHEV,PK,,WHI,2099249B,IL,701 N. Sacramento,(773) 265-7605,6939957
10/18/2018,KIA,4D,,SIL,945YZH,WI,10300 S. Doty,(773) 568-8495,2861489
10/18/2018,FORD,LL,TK,BLK,BB20061,IL,10300 S. Doty,(773) 568-8495,2861490
10/19/2018,FORD,4D,,TAN,AQ52573,IL,701 N. Sacramento,(773) 265-7605,6937404
10/19/2018,JEEP,LL,,RED,AH26985,IL,701 N. Sacramento,(773) 265-7605,6937405
11/24/2018,CADI,4D,,GRY,Q717202,IL,701 N. Sacramento,(773) 265-7605,6939989
11/24/2018,NISS,4D,,TRQ,DRC5942,MI,400 E. Lower Wacker,(312) 744-7550,996387
09/22/2018,CHEV,LL,,BLK,AS85281,IL,701 N. Sacramento,(773) 265-7605,6935027
11/23/2018,OLDS,4D,,BLK,Z731480,IL,10300 S. Doty,(773) 568-8495,2863924
11/23/2018,PONT,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6939923
09/22/2018,NISS,4D,,RED,Q616066,IL,701 N. Sacramento,(773) 265-7605,6935046
11/23/2018,BMW,2D,,GRY,V834048,IL,701 N. Sacramento,(773) 265-7605,6939921
